IO_RST_IBUF_inst	IOB_X0Y124	IOB18.INBUF_DCIEN	IBUF
cmd_word_reg[14]	SLICE_X182Y19	SLICEM.AFF	FDRE
cmd_word_reg[15]	SLICE_X183Y18	SLICEL.AFF	FDRE
cmd_word_reg[16]	SLICE_X186Y18	SLICEM.AFF	FDRE
cmd_word_reg[17]	SLICE_X188Y20	SLICEM.AFF	FDRE
cmd_word_reg[18]	SLICE_X188Y20	SLICEM.BFF	FDRE
cmd_word_reg[19]	SLICE_X190Y20	SLICEM.AFF	FDRE
cmd_word_reg[1]	SLICE_X182Y22	SLICEM.BFF	FDRE
cmd_word_reg[20]	SLICE_X190Y20	SLICEM.BFF	FDRE
cmd_word_reg[21]	SLICE_X188Y20	SLICEM.CFF	FDRE
cmd_word_reg[22]	SLICE_X190Y20	SLICEM.CFF	FDRE
cmd_word_reg[23]	SLICE_X189Y23	SLICEL.AFF	FDRE
cmd_word_reg[24]	SLICE_X186Y18	SLICEM.BFF	FDRE
cmd_word_reg[2]	SLICE_X182Y22	SLICEM.CFF	FDRE
cmd_word_reg[32]	SLICE_X186Y22	SLICEM.AFF	FDRE
cmd_word_reg[33]	SLICE_X186Y18	SLICEM.CFF	FDRE
cmd_word_reg[34]	SLICE_X186Y18	SLICEM.DFF	FDRE
cmd_word_reg[35]	SLICE_X186Y18	SLICEM.A5FF	FDRE
cmd_word_reg[36]	SLICE_X186Y18	SLICEM.B5FF	FDRE
cmd_word_reg[37]	SLICE_X186Y18	SLICEM.C5FF	FDRE
cmd_word_reg[38]	SLICE_X188Y20	SLICEM.DFF	FDRE
cmd_word_reg[39]	SLICE_X188Y20	SLICEM.A5FF	FDRE
cmd_word_reg[3]	SLICE_X184Y22	SLICEM.BFF	FDRE
cmd_word_reg[40]	SLICE_X188Y20	SLICEM.B5FF	FDRE
cmd_word_reg[41]	SLICE_X189Y23	SLICEL.BFF	FDRE
cmd_word_reg[42]	SLICE_X188Y23	SLICEM.AFF	FDRE
cmd_word_reg[43]	SLICE_X188Y23	SLICEM.BFF	FDRE
cmd_word_reg[44]	SLICE_X188Y20	SLICEM.C5FF	FDRE
cmd_word_reg[45]	SLICE_X188Y23	SLICEM.CFF	FDRE
cmd_word_reg[46]	SLICE_X188Y23	SLICEM.DFF	FDRE
cmd_word_reg[47]	SLICE_X188Y20	SLICEM.D5FF	FDRE
cmd_word_reg[48]	SLICE_X182Y19	SLICEM.BFF	FDRE
cmd_word_reg[49]	SLICE_X182Y19	SLICEM.CFF	FDRE
cmd_word_reg[4]	SLICE_X184Y22	SLICEM.CFF	FDRE
cmd_word_reg[50]	SLICE_X182Y19	SLICEM.DFF	FDRE
cmd_word_reg[51]	SLICE_X182Y19	SLICEM.A5FF	FDRE
