net	pips	fanout
txl_wdata__0[26]	6	1
txl_wdata__0[27]	9	2
txl_wdata__0[28]	5	1
txl_wdata__0[29]	6	1
txl_wdata__0[2]	4	1
txl_wdata__0[30]	6	1
txl_wdata__0[31]	7	1
txl_wdata__0[3]	4	1
txl_wdata__0[4]	5	1
txl_wdata__0[5]	4	1
txl_wdata__0[6]	7	1
txl_wdata__0[7]	6	1
txl_wdata__0[8]	4	1
txl_wdata__0[9]	6	1
txl_we	11	3
txl_we_i_2_n_0	8	2
txl_we_i_3_n_0	5	1
txl_we_i_4_n_0	4	1
txl_we_reg_n_0	8	2
u_tx_n_0	5	4
uart_rx_IBUF	24	1
uart_tx_OBUF	22	1
uch0_out[0]	6	1
uch[0]_i_2_n_0	5	1
uch[1]_i_2_n_0	5	1
uch[1]_i_3_n_0	4	1
uch[2]_i_2_n_0	4	1
uch[2]_i_3_n_0	4	1
uch[2]_i_4_n_0	11	3
uch[2]_i_5_n_0	8	3
uch[3]_i_2_n_0	4	1
uch[3]_i_3_n_0	11	3
uch[3]_i_4_n_0	6	3
uch[3]_i_5_n_0	4	1
uch[6]_i_1_n_0	17	6
uch[6]_i_3_n_0	14	5
uch[6]_i_4_n_0	9	5
uch[6]_i_5_n_0	7	2
uch[6]_i_6_n_0	6	3
uch[6]_i_7_n_0	4	2
uch[6]_i_8_n_0	8	3
uch_reg_n_0_[0]	5	1
uch_reg_n_0_[1]	4	1
uch_reg_n_0_[2]	5	1
uch_reg_n_0_[3]	4	1
uch_reg_n_0_[4]	3	1
uch_reg_n_0_[6]	6	1
urx_data[0]	7	1
urx_data[1]	5	1
urx_data[2]	7	1
urx_data[3]	5	1
urx_data[4]	6	1
urx_data[5]	7	1
urx_data[6]	6	1
urx_data[7]	5	1
utx_stb	24	10
wacc[0]	22	4
wacc[15]_i_1_n_0	19	8
wacc[1]	19	4
wacc[23]_i_1_n_0	11	8
wacc[23]_i_2_n_0	5	2
wacc[23]_i_3_n_0	17	5
wacc[23]_i_4_n_0	4	1
wacc[23]_i_5_n_0	6	2
wacc[27]	22	4
wacc[28]	15	4
wacc[29]	19	4
wacc[2]	17	4
wacc[30]	20	4
wacc[31]	20	4
wacc[31]_i_1_n_0	21	8
wacc[31]_i_3_n_0	6	2
wacc[7]_i_1_n_0	12	8
wacc[7]_i_2_n_0	6	1
wacc[7]_i_3_n_0	4	1
wacc[7]_i_4_n_0	5	1
wacc_reg_n_0_[0]	3	1
wacc_reg_n_0_[10]	4	1
wacc_reg_n_0_[11]	5	1
wacc_reg_n_0_[12]	4	1
wacc_reg_n_0_[13]	4	1
wacc_reg_n_0_[14]	4	1
wacc_reg_n_0_[15]	4	1
wacc_reg_n_0_[16]	8	1
wacc_reg_n_0_[17]	5	1
wacc_reg_n_0_[18]	5	1
wacc_reg_n_0_[19]	6	1
wacc_reg_n_0_[1]	3	1
wacc_reg_n_0_[20]	4	1
wacc_reg_n_0_[21]	5	1
wacc_reg_n_0_[22]	5	1
wacc_reg_n_0_[23]	5	1
wacc_reg_n_0_[24]	5	1
wacc_reg_n_0_[25]	4	1
wacc_reg_n_0_[26]	5	1
wacc_reg_n_0_[27]	4	1
wacc_reg_n_0_[28]	4	1
wacc_reg_n_0_[29]	4	1
wacc_reg_n_0_[2]	4	1
wacc_reg_n_0_[30]	4	1
wacc_reg_n_0_[31]	4	1
wacc_reg_n_0_[3]	3	1
wacc_reg_n_0_[4]	4	1
wacc_reg_n_0_[5]	3	1
wacc_reg_n_0_[6]	4	1
wacc_reg_n_0_[7]	6	1
wacc_reg_n_0_[8]	5	1
wacc_reg_n_0_[9]	5	1
word	32	32
word[31]_i_2_n_0	5	1
word[31]_i_3_n_0	5	1
word[31]_i_4_n_0	12	3
word_reg_n_0_[0]	4	1
word_reg_n_0_[10]	4	1
word_reg_n_0_[11]	3	1
word_reg_n_0_[12]	5	1
word_reg_n_0_[13]	3	1
word_reg_n_0_[14]	4	1
word_reg_n_0_[15]	4	1
word_reg_n_0_[16]	4	1
word_reg_n_0_[17]	4	1
word_reg_n_0_[18]	4	1
word_reg_n_0_[19]	4	1
word_reg_n_0_[1]	4	1
word_reg_n_0_[20]	4	1
word_reg_n_0_[21]	3	1
word_reg_n_0_[22]	4	1
word_reg_n_0_[23]	4	1
word_reg_n_0_[24]	4	1
word_reg_n_0_[25]	6	1
word_reg_n_0_[26]	4	1
word_reg_n_0_[27]	5	1
word_reg_n_0_[28]	3	1
word_reg_n_0_[29]	4	1
word_reg_n_0_[2]	5	1
word_reg_n_0_[30]	5	1
word_reg_n_0_[31]	4	1
word_reg_n_0_[3]	4	1
word_reg_n_0_[4]	5	1
word_reg_n_0_[5]	3	1
word_reg_n_0_[6]	3	1
word_reg_n_0_[7]	3	1
word_reg_n_0_[8]	3	1
word_reg_n_0_[9]	3	1
wp	22	16
wp[15]_i_3_n_0	12	3
wp_reg[12]_i_2_n_0	1	1
wp_reg[4]_i_2_n_0	1	1
wp_reg[8]_i_2_n_0	1	1
wp_reg_n_0_[0]	38	14
wp_reg_n_0_[10]	27	8
wp_reg_n_0_[11]	23	6
wp_reg_n_0_[12]	16	5
wp_reg_n_0_[13]	19	6
wp_reg_n_0_[14]	23	6
wp_reg_n_0_[15]	20	6
wp_reg_n_0_[1]	34	13
wp_reg_n_0_[2]	34	9
wp_reg_n_0_[3]	33	10
wp_reg_n_0_[4]	31	10
wp_reg_n_0_[5]	26	10
wp_reg_n_0_[6]	26	8
wp_reg_n_0_[7]	27	8
wp_reg_n_0_[8]	25	8
wp_reg_n_0_[9]	29	9
eth/<const0>	6614	51
eth/<const1>	5326	42
eth/D[0]	171	36
eth/D[10]	160	35
eth/D[11]	159	35
eth/D[12]	165	35
eth/D[13]	164	35
eth/D[14]	182	35
eth/D[15]	170	35
eth/D[16]	200	40
eth/D[17]	192	40
eth/D[18]	198	40
eth/D[19]	186	39
eth/D[1]	171	36
eth/D[20]	191	39
eth/D[21]	173	37
eth/D[22]	179	37
eth/D[23]	190	37
eth/D[24]	180	37
eth/D[25]	187	37
eth/D[26]	177	37
eth/D[27]	171	36
eth/D[28]	178	36
eth/D[29]	178	36
eth/D[2]	169	36
eth/D[30]	176	36
eth/D[31]	181	36
eth/D[3]	179	36
eth/D[4]	173	36
eth/D[5]	174	36
eth/D[6]	175	36
eth/D[7]	175	36
eth/D[8]	171	35
eth/D[9]	155	35
eth/Q[0]	90	35
eth/Q[10]	115	44
eth/Q[11]	125	52
eth/Q[12]	121	53
eth/Q[13]	134	53
eth/Q[14]	63	19
eth/Q[1]	256	55
eth/Q[2]	239	43
eth/Q[3]	242	43
eth/Q[4]	225	36
eth/Q[5]	217	35
eth/Q[6]	216	34
eth/Q[7]	214	34
eth/Q[8]	220	35
eth/Q[9]	226	36
eth/RAMB16_inst_rx_n_0	6	1
eth/RAMB16_inst_rx_n_1	5	1
eth/RAMB16_inst_rx_n_2	6	1
eth/RAMB16_inst_rx_n_3	6	1
eth/RAMB16_inst_rx_n_4	39	12
eth/RAMB16_inst_rx_n_45	21	9
eth/RAMB16_inst_rx_n_5	56	20
eth/RAMB16_inst_tx_n_0	5	1
eth/RAMB16_inst_tx_n_56	5	1
eth/RAMB16_inst_tx_n_57	5	1
eth/RAMB16_inst_tx_n_58	5	1
eth/RAMB16_inst_tx_n_59	7	1
eth/RAMB16_inst_tx_n_60	6	1
eth/RAMB16_inst_tx_n_61	5	1
eth/avail	4	1
eth/bm_rdata[0]_i_5_n_0	6	1
eth/bm_rdata[10]_i_14_n_0	3	1
eth/bm_rdata[10]_i_3_n_0	5	1
eth/bm_rdata[10]_i_8_n_0	29	11
eth/bm_rdata[11]_i_3_n_0	6	1
eth/bm_rdata[12]_i_3_n_0	5	1
eth/bm_rdata[13]_i_3_n_0	5	1
eth/bm_rdata[14]_i_3_n_0	4	1
eth/bm_rdata[16]_i_10_n_0	56	17
eth/bm_rdata[16]_i_4_n_0	4	1
eth/bm_rdata[17]_i_3_n_0	3	1
eth/bm_rdata[18]_i_3_n_0	4	1
eth/bm_rdata[19]_i_3_n_0	7	1
eth/bm_rdata[1]_i_5_n_0	5	1
eth/bm_rdata[20]_i_3_n_0	4	1
