vivado_delay	ot_delay	class	endpoint
6.281	6.423	FF_CE	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.ifg_reg_reg[3]/CE
6.281	6.423	FF_CE	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.ifg_reg_reg[4]/CE
5.959	3.082	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[8]
5.887	3.077	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[11].RAMB16_S9_S36_inst/DIADI[0]
5.771	4.706	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[18].RAMB16_S9_S36_inst/ADDRARDADDR[5]
6.161	6.401	FF_CE	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.ifg_reg_reg[0]/CE
5.835	5.397	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[19].RAMB16_S9_S36_inst/ADDRARDADDR[10]
5.717	2.692	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[11].RAMB16_S9_S36_inst/DIADI[2]
5.687	4.269	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[17].RAMB16_S9_S36_inst/ADDRARDADDR[9]
5.688	5.861	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[3]
5.751	5.277	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[18].RAMB16_S9_S36_inst/ADDRARDADDR[6]
5.738	4.800	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[18].RAMB16_S9_S36_inst/ADDRARDADDR[12]
5.585	5.657	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[20].RAMB16_S9_S36_inst/ADDRARDADDR[9]
5.633	3.361	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[12].RAMB16_S9_S36_inst/DIADI[0]
5.694	3.045	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[19].RAMB16_S9_S36_inst/ADDRARDADDR[8]
5.580	2.684	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[12].RAMB16_S9_S36_inst/DIADI[2]
5.575	3.376	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[13].RAMB16_S9_S36_inst/DIADI[0]
5.320	4.407	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[9].RAMB16_S9_S36_inst/ADDRARDADDR[9]
5.837	5.973	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.m_axis_tvalid_reg_reg/D
5.382	2.926	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[0].RAMB16_S9_S36_inst/DIADI[6]
6.180	5.312	FF_D	eth.sgmii_soc1.i_pcs_pma.inst.pcs_pma_block_i/transceiver_inst/rx_elastic_buffer_inst/rxclkcorcnt_reg[2]/D
5.458	5.811	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[20].RAMB16_S9_S36_inst/ADDRARDADDR[5]
5.506	4.735	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[17].RAMB16_S9_S36_inst/ADDRARDADDR[5]
5.512	5.393	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[4]
5.570	5.208	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[18].RAMB16_S9_S36_inst/ADDRARDADDR[10]
5.329	3.188	BRAM_DIADI	eth.RAMB16_inst_rx.genblk1[10].RAMB16_S9_S36_inst/DIADI[6]
5.488	6.071	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[20].RAMB16_S9_S36_inst/ADDRARDADDR[10]
5.422	4.233	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[16].RAMB16_S9_S36_inst/ADDRARDADDR[9]
5.444	3.954	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[1].RAMB16_S9_S36_inst/ADDRARDADDR[7]
5.757	5.975	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.crc_cnt_reg[0]/D
5.446	6.506	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[20].RAMB16_S9_S36_inst/ADDRARDADDR[6]
5.193	4.270	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[9].RAMB16_S9_S36_inst/ADDRARDADDR[5]
5.423	5.585	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[19].RAMB16_S9_S36_inst/ADDRARDADDR[3]
5.486	4.993	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[17].RAMB16_S9_S36_inst/ADDRARDADDR[6]
5.473	4.785	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[17].RAMB16_S9_S36_inst/ADDRARDADDR[12]
5.419	3.443	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[20].RAMB16_S9_S36_inst/ADDRARDADDR[8]
5.320	5.456	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[21].RAMB16_S9_S36_inst/ADDRARDADDR[9]
5.223	4.606	BRAM_ADDR	eth.RAMB16_inst_rx.genblk1[9].RAMB16_S9_S36_inst/ADDRARDADDR[10]
5.951	6.256	FF_D	eth.sgmii_soc1.i_mac.axis_gmii_tx_inst.s_axis_tready_reg_reg/D
5.402	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[31]/S
5.402	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[3]/S
5.402	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[4]/S
5.402	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[5]/S
5.343	5.527	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.gmii_rx_dv_d0_reg/R
5.343	5.527	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.gmii_rx_dv_d1_reg/R
5.343	5.527	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.gmii_rx_dv_d2_reg/R
5.343	5.527	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.gmii_rx_dv_d3_reg/R
5.391	5.527	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.FSM_sequential_state_reg_reg[0]/R
5.391	5.527	FF_R	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.FSM_sequential_state_reg_reg[1]/R
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[0]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[10]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[11]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[12]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[20]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[21]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[22]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[23]/S
5.396	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[28]/S
5.396	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[29]/S
5.396	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[2]/S
5.396	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[30]/S
5.395	5.527	FF_S	eth.sgmii_soc1.i_mac.axis_gmii_rx_inst.fcs_reg_reg[6]/S
